team,league,value_usd_m,year,source,source_url,method,confidence,notes
Memphis Tigers football,College football,88,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Football revenue $22.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $263M / EADA total athletics revenue $65.9M, same FY). Dept value source: College Factual EADA summary."
Baylor,College football,180,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $44.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.06 (dept value $585M / EADA total athletics revenue $144.1M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Kansas,College football,132,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $37.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.57 (dept value $620M / EADA total athletics revenue $173.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Louisiana Ragin Cajuns football,College football,59,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Football revenue $14.8M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $172M / EADA total athletics revenue $43.0M, same FY). Dept value source: College Factual EADA summary."
Fresno State Bulldogs football,College football,60,2024,EADA program revenue x department multiple (dept value from USA Today NCAA finances via SJV Sun Mountain West comparison),https://ope.ed.gov/athletics/,derived,low,"Football revenue $17.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.40 (dept value $216M / EADA total athletics revenue $63.4M, same FY). Dept value source: USA Today NCAA finances via SJV Sun Mountain West comparison."
San Diego State Aztecs football,College football,74,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $24.5M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.01 (dept value $270M / EADA total athletics revenue $89.8M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Utah State Aggies football,College football,69,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Football revenue $17.3M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $193M / EADA total athletics revenue $48.3M, same FY). Dept value source: College Factual EADA summary."
Buffalo Bulls football,College football,56,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Football revenue $14.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $200M / EADA total athletics revenue $50.0M, same FY). Dept value source: College Factual EADA summary."
San Jose State Spartans football,College football,43,2024,EADA program revenue x department multiple (dept value from USA Today NCAA finances via SJV Sun Mountain West comparison),https://ope.ed.gov/athletics/,derived,low,"Football revenue $11.9M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.63 (dept value $156M / EADA total athletics revenue $42.9M, same FY). Dept value source: USA Today NCAA finances via SJV Sun Mountain West comparison."
Tulane Green Wave,College football,96,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Football revenue $24.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $265M / EADA total athletics revenue $66.2M, same FY). Dept value source: College Factual EADA summary."
Ball State Cardinals football,College football,32,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Football revenue $8.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 3.99 (dept value $121M / EADA total athletics revenue $30.3M, same FY). Dept value source: College Factual EADA summary."
Boise State Broncos,College football,137,2025,EADA program revenue x department multiple (dept value from CNBC Official College Sports Valuations 2025),https://ope.ed.gov/athletics/,derived,medium,"Football revenue $55.7M (FY2025 (EADA, academic year 2024-25)) x implied multiple 2.46 (dept value $221M / EADA total athletics revenue $89.7M, same FY). Dept value source: CNBC Official College Sports Valuations 2025."
Coastal Carolina Chanticleers,College football,68,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Football revenue $17.1M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $188M / EADA total athletics revenue $47.0M, same FY). Dept value source: College Factual EADA summary."
Liberty Flames,College football,92,2024,EADA program revenue x department multiple (dept value from College Factual EADA summary),https://ope.ed.gov/athletics/,derived,low,"Football revenue $23.0M (FY2025 (EADA, academic year 2024-25)) x implied multiple 4.00 (dept value $248M / EADA total athletics revenue $62.1M, same FY). Dept value source: College Factual EADA summary."
