country,league,end_year,reep_competition,site_clubs_left,reep_teams_left
Italy,Serie C1 Girone A,2006,Serie C,Pizzighettone,rt22d5ba15f8bd63=Sangiovannese; rt30d5a86497d047=Massese; rt0a745dabd3c7d6=Gela; rtf3632c98e381de=Frosinone; rt53781d85c54a38=Virtus Lanciano; rt9c055becf0182d=Perugia; rt35cf8dfa4bb4a6=Martina; rteb221fd0c9d409=Chieti; rt7f89d7b92f6ef9=Lucchese; rtc6e37c773055d9=Foggia; rt75b6fa01964044=Città di Acireale; rtdf6d8d1300aa52=Grosseto; rteefd1cb8eedc90=Pergolettese; rt33018a1acc6840=Manfredonia; rt0a0f38a1ce748c=Pistoiese; rtbcf35bb8f5aa30=Torres; rtcd397b22724b6d=Juve Stabia; rt4c540e697cd963=Napoli; rtfeb31aad057acc=Pisa
Italy,Serie C1 Girone A,2007,Serie C,Pizzighettone,rt4626000cbdc8b3=Città di Teramo; rtf712ca835fc0dd=San Marino Calcio; rt53781d85c54a38=Virtus Lanciano; rt9c055becf0182d=Perugia; rte5823f3af83902=Taranto; rt97e24e1af7b2ba=Avellino; rt35cf8dfa4bb4a6=Martina; rtef227bd051d76f=Ternana; rt72e1d84e64df83=Salernitana; rtc6e37c773055d9=Foggia; rtd1f5cc8336797c=AC Ancona; rt6379412429b8ed=Gallipoli; rteefd1cb8eedc90=Pergolettese; rt6daba2c6803518=Sambenedettese; rt33018a1acc6840=Manfredonia; rt53f3af91e3dad6=Ravenna; rtcd397b22724b6d=Juve Stabia; rtcbbddf28751ae8=Cavese 1919; rt9feddc1fcc6c8e=Giulianova
Kazakhstan,Kazakhstan Premier League,2008,Premier League,Yesil Bogatyr; FC Ekibastuzets,rtd9c0c942d189be=Kyzyl-Zhar; rt20a5ebec924458=Energetik Pavlodar
Kazakhstan,Kazakhstan Premier League,2024,Premier League,FC Elimai,rt7647e898cb8612=Aksu; rt14f6e1b8c7c91a=Yelimay
Kazakhstan,Kazakhstan Premier League,2025,Premier League,FC Elimai,rt14f6e1b8c7c91a=Yelimay
Kazakhstan,Kazakhstan Premier League,2026,Premier League,FC Altai; FC Elimai,rtf96df239fe33b6=Altay; rt14f6e1b8c7c91a=Yelimay
Kazakhstan,Kazakhstan Super League,2002,Premier League,Yesil Bogatyr; Yesil Kokshetau; FC Elimai,rt49b9a36833abe0=Spartak Semey; rtd9c0c942d189be=Kyzyl-Zhar; rt14f6e1b8c7c91a=Yelimay
Kazakhstan,Kazakhstan Super League,2003,Premier League,Yesil Bogatyr; Batys Oral; FC Ekibastuzets; Yesil Kokshetau; FC Elimai,rt49b9a36833abe0=Spartak Semey; rt8df5c3aa0e3ba1=Batyr; rtd9c0c942d189be=Kyzyl-Zhar; rt14f6e1b8c7c91a=Yelimay
Kazakhstan,Kazakhstan Super League,2004,Premier League,FC Ekibastuzets; FC Yassi; Yesil Bogatyr,rt8df5c3aa0e3ba1=Batyr; rtd9c0c942d189be=Kyzyl-Zhar; rt14f6e1b8c7c91a=Yelimay
Kazakhstan,Kazakhstan Super League,2005,Premier League,Yesil Bogatyr; FC Ekibastuzets; FC Bolat,rt8df5c3aa0e3ba1=Batyr; rt1b063fdf064f75=Shakhter II; rtd9c0c942d189be=Kyzyl-Zhar
Kazakhstan,Kazakhstan Super League,2006,Premier League,Yesil Bogatyr; FC Ekibastuzets,rt8df5c3aa0e3ba1=Batyr; rtd9c0c942d189be=Kyzyl-Zhar
Kazakhstan,Kazakhstan Super League,2007,Premier League,Yesil Bogatyr; FC Ekibastuzets,rt8df5c3aa0e3ba1=Batyr; rtd9c0c942d189be=Kyzyl-Zhar
Latvia,Virsliga,2005,Virsliga,FK Venta Ventspils,rt6f554664975c72=Daugava Rīga; rt8c42f7c6c0afec=Rīga
Lithuania,A Lyga,2014,Toplyga,FK Trakai,rt71594803f6814a=Šiauliai; rt809954b842265b=Riteriai
Lithuania,A Lyga,2015,Toplyga,FK Spyris Kaunas; FK Trakai,rt71594803f6814a=Šiauliai; rt809954b842265b=Riteriai; rt3fefc1bce7edd4=Kauno Žalgiris
Lithuania,A Lyga,2016,Toplyga,FK Trakai,rt809954b842265b=Riteriai
Malta,Maltese Premier,2012,Premier League,Balzan Youths,rt2247b96fa0afde=Balzan
Malta,Maltese Premier,2013,Premier League,Balzan Youths,rt2247b96fa0afde=Balzan
Malta,Maltese Premier,2014,Premier League,Balzan Youths,rt2247b96fa0afde=Balzan
Malta,Maltese Premier,2015,Premier League,Balzan Youths,rt2247b96fa0afde=Balzan
Mexico,Liga de Ascenso Apertura,2009,Liga de Expansión MX,Mérida FC,rt15bff98c5669a9=Atlético Mexiquense; rtbcb8881a0ba6c5=Atlante II; rt8fa043e108f45c=Santos Laguna Premier; rt104b836ed44247=Tigres Premier; rt5d2afa2afa3b21=Indios Chihuahua; rt2c12042eb7da79=Monterrey Premier; rt5ddb61ded20883=Socio Águila; rt6ea135d16be45b=Académicos; rt6adc0674258001=Venados; rtdf0c63cfeb92ea=Jaiba Brava; rt4d8e3b741cc316=Tecos UAG II; rtca2db9921a8d44=Jaguares II; rtc973c3c1b02796=Tampico Madero; rt4f027756e5c756=Querétaro
Mexico,Liga de Ascenso Apertura,2010,Liga de Expansión MX,Altamira FC; Atlante UTN; Mérida FC,rt1ec6fd0271229e=Necaxa; rtbcb8881a0ba6c5=Atlante II; rt6adc0674258001=Venados
Mexico,Liga de Ascenso Apertura,2011,Liga de Expansión MX,Altamira FC; Celaya FC; Mérida FC,rtbcb8881a0ba6c5=Atlante II; rt63a6f25fbbc62b=Guerreros; rt24d1b3a036ae5c=Durango; rtb80c5835610620=Cafetaleros de Chiapas; rt6adc0674258001=Venados; rt10776444c56777=Orizaba; rtc8fdd689394feb=Tijuana
Mexico,Liga de Ascenso Apertura,2012,Liga de Expansión MX,Estudiantes Tecos; Altamira FC; Mérida FC,rt5bded70999191b=Indios; rtb80c5835610620=Cafetaleros de Chiapas; rt6adc0674258001=Venados; rta7ac0c4dd54c00=León
Mexico,Liga de Ascenso Apertura,2013,Liga de Expansión MX,Ballenas Galeana; Altamira FC; Delfines FC; Mérida FC,rt3a25ea8d64c4bc=Neza; rtbf058dd94488ae=Veracruz; rtb80c5835610620=Cafetaleros de Chiapas; rt76bcba6b61fdac=Irapuato; rt6adc0674258001=Venados; rte0f7cada23906e=Reboceros La Piedad; rt18531e7ec46a60=Pumas Morelos
Mexico,Liga de Ascenso Apertura,2014,Liga de Expansión MX,Altamira FC; Deportivo Tepic; Mérida FC,rtec4cf25d9027e1=Cruz Azul Hidalgo; rt20db951a046ab4=Tecos; rtb80c5835610620=Cafetaleros de Chiapas; rt40b751ca820a22=Leones Negros UdeG; rt6adc0674258001=Venados; rt3a22b7744ce4de=Delfines; rt483935c85664d1=Alebrijes; rt0ec95075ff9198=Ballenas Galeana
Mexico,Liga de Ascenso Apertura,2015,Liga de Expansión MX,Deportivo Tepic; Murciélagos FC,rt29108588a0927a=Dorados; rt76bcba6b61fdac=Irapuato; rt483935c85664d1=Alebrijes
Mexico,Liga de Ascenso Apertura,2016,Liga de Expansión MX,Deportivo Tepic; Loros UdeC,rt1ec6fd0271229e=Necaxa; rt6c04fa8971cccf=Atlético San Luis; rt483935c85664d1=Alebrijes
Mexico,Liga de Ascenso Apertura,2019,Liga de Expansión MX,Loros UdeC,rt6c04fa8971cccf=Atlético San Luis; rtdf0c63cfeb92ea=Jaiba Brava; rtfccd1c6c2dfa0f=Juárez; rt483935c85664d1=Alebrijes
Mexico,Liga de Ascenso Clausura,2011,Liga de Expansión MX,Altamira FC; Atlante UTN; Mérida FC,rtbcb8881a0ba6c5=Atlante II; rt63a6f25fbbc62b=Guerreros; rtb80c5835610620=Cafetaleros de Chiapas; rt6adc0674258001=Venados
Mexico,Liga de Ascenso Clausura,2012,Liga de Expansión MX,Altamira FC; Mérida FC,rt5bded70999191b=Indios; rtb80c5835610620=Cafetaleros de Chiapas; rt6adc0674258001=Venados
Mexico,Liga de Ascenso Clausura,2013,Liga de Expansión MX,Altamira FC; Mérida FC,rtb80c5835610620=Cafetaleros de Chiapas; rt6adc0674258001=Venados
Mexico,Liga de Ascenso Clausura,2014,Liga de Expansión MX,Altamira FC; Mérida FC,rtb80c5835610620=Cafetaleros de Chiapas; rt6adc0674258001=Venados; rt483935c85664d1=Alebrijes
Mexico,Liga de Ascenso Clausura,2015,Liga de Expansión MX,Altamira FC; Deportivo Tepic; Mérida FC,rtb80c5835610620=Cafetaleros de Chiapas; rt483935c85664d1=Alebrijes; rt6adc0674258001=Venados
Mexico,Liga de Ascenso Clausura,2016,Liga de Expansión MX,Deportivo Tepic,rt483935c85664d1=Alebrijes
Mexico,Liga de Ascenso Clausura,2017,Liga de Expansión MX,Deportivo Tepic,rtdf0c63cfeb92ea=Jaiba Brava
Mexico,Liga de Expansión MX Apertuera,2024,Liga de Expansión MX,Club Jaiba Brava,rtdaca84a842d26b=Cimarrones de Sonora
Mexico,Liga de Expansión MX Apertuera,2026,Liga de Expansión MX,Alacranes de Durango; Cruz Azul Hidalgo; Piratas FC,rt76bcba6b61fdac=Irapuato; rtcae4412da5a71b=Atlante
Mexico,Liga de Expansión MX Apertura,2020,Liga de Expansión MX,Atlético Morelia,rte363a2115bfcae=Potros UAEM; rtb80c5835610620=Cafetaleros de Chiapas; rtdf0c63cfeb92ea=Jaiba Brava; rtffb4ef73bf0619=Atlético Zacatepec; rtb5dffdb1f4aff1=Loros Universidad
Mexico,Liga de Expansión MX Apertura,2022,Liga de Expansión MX,Alacranes de Durango,rtdf0c63cfeb92ea=Jaiba Brava; rtc973c3c1b02796=Tampico Madero
Mexico,Mexican Apertura,2014,Liga MX,Universidad de Guadalajara,rtdc06f2cda0007d=Atlético Morelia; rtcae4412da5a71b=Atlante
Mexico,Primera División A Apertura,2005,Liga de Expansión MX,Cruz Azul Oaxaca; Chivas Coras; Águilas Riviera Maya; Dorados de Tijuana; Delfines de Coatzacoalcos; Petroleros Salamanca; Rayados A,rt3a25ea8d64c4bc=Neza; rtb80c5835610620=Cafetaleros de Chiapas; rtef8128ca48053b=San Luis; rt6adc0674258001=Venados; rt10776444c56777=Orizaba; rt4a07bd8a2991dd=Celaya
Mexico,Primera División A Apertura,2006,Liga de Expansión MX,Cruz Azul Hidalgo; Pumas Morelos; Santos Laguna A; Académicos Tonalá; Tecos UAG 'A'; Monarcas Morelia A; Petroleros Salamanca; TR Coatzacoalcos,rtdf0c63cfeb92ea=Jaiba Brava; rt10776444c56777=Orizaba; rte0f7cada23906e=Reboceros La Piedad; rt4f027756e5c756=Querétaro
Mexico,Primera División A Apertura,2007,Liga de Expansión MX,Pegaso Real de Colima; Jaguares de Tapachula; Tecos UAG 'A'; Petroleros Salamanca; Tigres B; TR Coatzacoalcos,rt86596e5dbe232d=Puebla; rt06a3b0c8125eda=Tabasco; rt5682fe7c2e29bd=Alebrijes de Oaxaca; rt63a6f25fbbc62b=Guerreros; rtbf058dd94488ae=Veracruz; rt40b751ca820a22=Leones Negros UdeG; rtdf0c63cfeb92ea=Jaiba Brava; rt4d8e3b741cc316=Tecos UAG II; rt4a07bd8a2991dd=Celaya; rte0f7cada23906e=Reboceros La Piedad; rt104b836ed44247=Tigres Premier; rt10776444c56777=Orizaba
Mexico,Primera División A Apertura,2008,Liga de Expansión MX,Mérida FC; Tecos A; Jaguares de Tapachula; Potros Chetumal; Club Real de Colima; Petroleros Salamanca; Tigres B,rt5fcfea324498bb=Monarcas Morelia Premier; rt63a6f25fbbc62b=Guerreros; rt104b836ed44247=Tigres Premier; rt40b751ca820a22=Leones Negros UdeG; rtdf0c63cfeb92ea=Jaiba Brava; rt4d8e3b741cc316=Tecos UAG II; rtca2db9921a8d44=Jaguares II; rte0f7cada23906e=Reboceros La Piedad
Mexico,Primera División A Clausura,2004,Liga de Expansión MX,Guerreros Acapulco; Tigrillos Coapa; Estudiantes de Santander; Azucareros de Córdoba; Mérida FC; Jaguares de Tapachula; Delfines de Coatzacoalcos; Trotamundos Salamanca; Cobras de Ciudad Juárez,rtb80c5835610620=Cafetaleros de Chiapas; rt6adc0674258001=Venados; rt10776444c56777=Orizaba; rtca2db9921a8d44=Jaguares II
Mexico,Primera División A Clausura,2005,Liga de Expansión MX,Chivas La Piedad; Cruz Azul Oaxaca; Estudiantes de Santander; Pachuca Juniors; Ciudad Obregón; Tigrillos Broncos; Mérida FC; Cobras de Ciudad Juárez; Huracanes de Colima; Delfines de Coatzacoalcos,rt63a6f25fbbc62b=Guerreros; rt104b836ed44247=Tigres Premier; rtb80c5835610620=Cafetaleros de Chiapas; rt6adc0674258001=Venados; rt10776444c56777=Orizaba
Mexico,Primera División A Clausura,2006,Liga de Expansión MX,Chivas Coras; Cruz Azul Oaxaca; Coyotes de Sonora; Delfines de Coatzacoalcos; Petroleros Salamanca,rtdf0c63cfeb92ea=Jaiba Brava; rt10776444c56777=Orizaba; rte0f7cada23906e=Reboceros La Piedad
Mexico,Primera División A Clausura,2007,Liga de Expansión MX,Pegaso Real de Colima; Tecos UAG 'A'; TR Coatzacoalcos; Petroleros Salamanca,rt06a3b0c8125eda=Tabasco; rt5682fe7c2e29bd=Alebrijes de Oaxaca; rt63a6f25fbbc62b=Guerreros; rtbf058dd94488ae=Veracruz; rt40b751ca820a22=Leones Negros UdeG; rtdf0c63cfeb92ea=Jaiba Brava; rt4d8e3b741cc316=Tecos UAG II; rte0f7cada23906e=Reboceros La Piedad; rt10776444c56777=Orizaba
Mexico,Primera División A Clausura,2008,Liga de Expansión MX,Pegaso Real de Colima; Jaguares de Tapachula; Tecos UAG 'A'; Petroleros Salamanca; Tigres B; TR Coatzacoalcos,rt63a6f25fbbc62b=Guerreros; rt104b836ed44247=Tigres Premier; rt40b751ca820a22=Leones Negros UdeG; rtdf0c63cfeb92ea=Jaiba Brava; rt10776444c56777=Orizaba; rt4d8e3b741cc316=Tecos UAG II; rtca2db9921a8d44=Jaguares II; rte0f7cada23906e=Reboceros La Piedad
Mexico,Primera División A Clausura,2009,Liga de Expansión MX,Mérida FC; Tecos A; Jaguares de Tapachula; Potros Chetumal; Club Real de Colima; Petroleros Salamanca; Tigres B,rtbcb8881a0ba6c5=Atlante II; rt63a6f25fbbc62b=Guerreros; rt104b836ed44247=Tigres Premier; rt40b751ca820a22=Leones Negros UdeG; rt6adc0674258001=Venados; rtdf0c63cfeb92ea=Jaiba Brava; rt4d8e3b741cc316=Tecos UAG II; rtca2db9921a8d44=Jaguares II; rte0f7cada23906e=Reboceros La Piedad
Mexico,Torneo de Bicentenario,2010,Liga de Expansión MX,Mérida FC,rtbcb8881a0ba6c5=Atlante II; rt6adc0674258001=Venados
Moldova,Divizia Nationala,2007,Super Liga,FC Dinamo Bender; FC Olimpia Bălţi,rt0e33cec4f3be38=Tighina; rta8ed092cdc3073=Zaria
Moldova,Divizia Nationala,2008,Super Liga,FC Dinamo Bender; FC Olimpia Bălţi,rt1c8cdb0be674c6=Academia II; rt0e33cec4f3be38=Tighina; rta8ed092cdc3073=Zaria
Moldova,Divizia Nationala,2009,Super Liga,FC Dinamo Bender; FC Olimpia Bălţi,rt0e33cec4f3be38=Tighina; rta8ed092cdc3073=Zaria
Moldova,Divizia Nationala,2010,Super Liga,FC Dinamo Bender; FC Olimpia Bălţi; FC Viitorul,rt3a89ba0c031584=Milsami; rt0e33cec4f3be38=Tighina; rta8ed092cdc3073=Zaria
Moldova,Divizia Nationala,2011,Super Liga,FC Dinamo Bender; FC Olimpia Bălţi; CF Gagauziya,rt7538b7bfc31b56=Univer Comrat; rt0e33cec4f3be38=Tighina; rta8ed092cdc3073=Zaria
Moldova,Divizia Nationala,2013,Super Liga,FC Olimpia Bălţi,rta8ed092cdc3073=Zaria
Moldova,Divizia Nationala,2014,Super Liga,FC Olimpia Bălţi,rta8ed092cdc3073=Zaria
Netherlands,Eerste Divisie,1992,Eerste Divisie,VCV Zeeland,rt245f73c46d9e00=Den Bosch; rt72fb34b0454728=Vlissingen
Netherlands,Eerste Divisie,2006,Eerste Divisie,FC Omniworld,rt2d311e702a4053=Almere City
Netherlands,Eerste Divisie,2007,Eerste Divisie,FC Omniworld,rt2d311e702a4053=Almere City
Netherlands,Eerste Divisie,2008,Eerste Divisie,FC Omniworld,rt2d311e702a4053=Almere City
Netherlands,Eerste Divisie,2009,Eerste Divisie,FC Omniworld,rt2d311e702a4053=Almere City
Netherlands,Eerste Divisie,2010,Eerste Divisie,FC Omniworld,rt2d311e702a4053=Almere City
Poland,Ekstraklasa,1995,Ekstraklasa,Petrochemia Płock; Olimpia Poznań,rt5e8802b1d5eec5=Lechia Gdańsk; rt07e3c2fb7d7695=MOKS Stomil Olsztyn
Poland,Ekstraklasa,1998,Ekstraklasa,Petrochemia Płock,rtfb89027cfbd666=Wisła Płock; rtb4836a98e25122=Petrochemia; rt07e3c2fb7d7695=MOKS Stomil Olsztyn
Poland,Ekstraklasa,2000,Ekstraklasa,Petrochemia Płock,rtfb89027cfbd666=Wisła Płock; rtb4836a98e25122=Petrochemia; rt07e3c2fb7d7695=MOKS Stomil Olsztyn
Qatar,Qatar Stars League,2011,Stars League,Lekhwiya,rtb40f0e4d4bfdc4=Al Duhail; rt02e0fcec990ca9=Al Shamal
Romania,Romania Liga II,2017,Cupa României,UTA Batrana Doamna; ACS Soimii Pancota,rt1638375bd54c6c=Becicherecu Mic; rt77bd7843d1f28b=Unirea Bascov; rtf8ea23b28f26dd=Urban Titu; rt4a6fd80a7e8524=Șomuzul Preutești; rt9792b67bb324d3=Voluntari II; rtfe1ba8269bd933=Botoșani; rt9c34a7abf394bd=Academica Clinceni; rtef6cf11d8b4228=Voluntari; rt6ea480ce82ef31=Voinţa Lupac; rt8f7f4a9d51f3b5=Csikszereda; rt8ae0541b61cbfe=Petrolistul Boldești; rt05d8b692deb2e5=Universitatea Craiova II; rt65aab94557c733=Voinţa Lanurile; rtba488ade8e3c6b=Daco-Getica; rte0687cc923f6b3=Ghiroda; rt747719a3523342=Slatina; rt3409711197fbab=Înainte Modelu; rt8a56846e178cf9=Pucioasa; rt8a291b9359ebde=Viitorul Ulmeni; rt1c3063fd808e48=Ştiinţa Miroslava; rt23f3b551624d3a=Caransebeş; rt3515a86a18260e=Transdor Tudora; rtfffb8d8720247c=Tunari; rt20839b19f8d769=CSM Lugoj; rtea5a1cc0b6b87c=Argeș; rtd8f2a55f77f9b2=Șoimii Lipova; rt605cc8e58ba15a=Flacăra Moreni; rtbfb1c604fb21c8=Comuna Recea; rt1b9a147c5b1e5a=Unirea Slobozia; rtb0313f52e348fb=Unirea Cristuru Secuiesc; rt324529bdfe7dd3=ACS Poli Timişoara; rt5fbd6d8ba04cc6=Delta Dobrogea; rt2c7f9c04df5969=Știinta Danubius Bechet; rta1a3130820e1ec=TM Sângeorgiu de Pădure; rtcd03f64dde8e56=Pescăruşul Sarichioi; rt46351878f41f1c=Olteniţa; rt7b60d587601c15=FCV Farul Constanţa; rt537419fca967ac=Corvinul Hunedoara; rt5f3903ab871c39=Unirea Dej; rtcef35c4fd19b76=Unirea Mirşid; rt5527ece95a9c9d=CFR Cluj; rt70f70391156200=Millenium Giarmata; rt6e957f45ee5b60=Metalosport Galaţi; rt88dd9f252cf2b3=Pandurii Cerneți; rtc0efd05eff6bf6=Universitatea Craiova; rteaa4f477783f72=Siretul Lespezi; rtd944f4ef92d2aa=Sănătatea Cluj; rt8eb23046b1d349=Râmnicu Sărat; rt4ce0c229efa8b0=CSM Pascani; rt99dd8b5741523f=Sporting Lieşti; rt023f8dc8151653=Unirea Jucu; rtbb4b8a7bc26e06=Podari; rt31bea061bd26c8=Târgu Mureş; rte78cf1c72f6857=Universitatea Cluj; rtd03ca9a92bd4e5=Oşorhei; rta698f71f08c76c=Performanța Ighiu; rta4f05b6d91b888=Bucovina Pojorâta; rt887d6e1180da4e=FCSB; rt891a17c0036370=Gaz Metan Mediaş; rt1b9c0f1935c8d7=Păuleşti; rt93334952b413a7=CS FC Zalău; rt9f0e92525604de=Viitorul Domneşti; rt6893d1db5ec288=Voinţa Snagov; rt54d81cee287394=Dinamo Bucureşti II; rt6ef8c971744175=Vitis; rta39f911206d311=SC Bacău; rtc890729ec9400d=Abatorul Slobozia; rte291326b65e395=Viteazul Mihai Viteazu; rt3b325a067b8fbf=Filiaşi; rtf179d10ab1219c=Sportul Chiscani; rt3851075a69546e=Gauss Răcăciuni; rt289072d99df35f=Chimia Oraş Victoria; rtb1bd360cf58ffe=Ştefăneşti; rt97851f8a97be11=Internaţional Băleşti; rtbc56db38c28ab9=Metalurgistul Cugir; rtd20ef53ef43bf2=Minaur Baia Mare; rt1f1de9ae652c99=Euromania Dumbrăveni; rt6ebb34ce4a8f08=Minerul Motru; rtaefcd68d4b5850=Industria Sârmei; rtcda2e0bcb8e17d=Hărman; rt15bbd795bd5784=Metaloglobus; rt9f91b9ba1bc7fc=Şoimii Pâncota; rt7b06c5f673b669=Ineu; rta23b7850469492=FC Bistriţa; rtd593ce1b4bd7d6=Pandurii Târgu Jiu II; rtc137c7a02a1cbf=Inter Dorohoi; rtc704339f6c15b7=Concordia Chiajna; rtb6c9e861055801=Sporting Roşiori; rt776044fcefd873=Victoria Chirnogi; rt3b8ee1745a492a=Aerostar Bacău; rt09faa79f23050a=Panciu; rt23c6005cbb7527=Viitorul Constanţa II; rt6ad05875673291=Posada Perişani; rt1d92c309160a12=CSM Deva; rt936e66894b45c0=Avrig; rta1a766a99ee761=ARO Muscelul Câmpulung; rt89f76fe5be4590=Păpăuţi; rt966ee4174a36b6=Avântul Reghin; rt15a5a56a2c284e=Marmaţia Sighet; rt02a19212f842f8=Gloria Ivești; rt8899abbd8dfc36=Arsenal Malu; rt0ea5ea7b59d9fd=Roman; rt9b060bb97301d3=Voinţa Ion Creangă; rtc46dc528fa4b08=Șoimul Băița; rtb1dbc573fb41a1=Bragadiru; rtc4fb90194166a3=Someşul Oar; rt488bd921b3073a=Atletic Bradu; rt7aa6fdbe2d7713=Atletico Vaslui; rt3678630f4d1653=SSU Poli Timişoara; rtda940271e94fb4=Concordia Chiajna II; rt3367348d0cd9be=Odorheiu Secuiesc; rt751e00ffe0066e=Sportul Snagov; rt06bf283e5f22e9=Viitorul Sântimbru; rt8fd20f0a3e8fca=Hidişelul de Sus; rt9dab1361e9a754=Popești-Leordeni; rt8a4a3443acfa14=Unirea Brânceni; rt908254251b91ca=Astra; rt29cb29bdf406e1=Iernut; rt4c8ee1759a2e8c=Măgura Cisnădie; rt77973149856ddf=Electroaparataj; rt0f869e5d4995b3=UTA Arad; rte3b92600a41848=Naţional Sebiş; rt4a75e5be0f5613=Sporting Turnu; rt78a6b65eac6b1d=Pandurii Târgu Jiu
Romania,Romania Liga II,2019,Cupa României,ACS Energeticianul,rt1638375bd54c6c=Becicherecu Mic; rt5c001965deed71=U Craiova 1948; rt77bd7843d1f28b=Unirea Bascov; rte98e60dcc0f1b7=Rapid Bucureşti; rtfe1ba8269bd933=Botoșani; rtef6cf11d8b4228=Voluntari; rt85bb758a002a52=Universitatea Galaţi; rt55d88de76bdd46=Focşani; rt5748ba7c467925=Viitorul Axintele; rt1d5027839e3bc6=Nemere Ghelinţa; rt8f7f4a9d51f3b5=Csikszereda; rt65aab94557c733=Voinţa Lanurile; rt496154ff43414a=Progresul Spartac; rt4d44bda27d129d=Viitorul Liteni; rt949d19c4e07eee=Gloria Lunca Teuz Cermei; rt747719a3523342=Slatina; rte21716367fc024=1599 Şelimbăr; rt3409711197fbab=Înainte Modelu; rt8a56846e178cf9=Pucioasa; rt1c3063fd808e48=Ştiinţa Miroslava; rt47eb7c674d8a1c=CSM Reşiţa; rtfffb8d8720247c=Tunari; rt1db509ef95075d=Turris-Oltul T. Măgurele; rt20839b19f8d769=CSM Lugoj; rt6fe603f66263c5=Ghiroda şi Giarmata Vii; rt8b8b74f792634d=Unirea Alba Iulia; rtd8f2a55f77f9b2=Șoimii Lipova; rt7be7c1ae118acf=Viitorul Albeşti; rt605cc8e58ba15a=Flacăra Moreni; rtbfb1c604fb21c8=Comuna Recea; rt030334a486ef5e=Târgu Secuiesc; rt1b9a147c5b1e5a=Unirea Slobozia; rt411fcf1619ae42=Foresta Suceava; rtb0313f52e348fb=Unirea Cristuru Secuiesc; rtd801cd64414bb5=Axiopolis; rt5fbd6d8ba04cc6=Delta Dobrogea; rtcd03f64dde8e56=Pescăruşul Sarichioi; rt46351878f41f1c=Olteniţa; rte90aefa10a2b13=Victoria Traian; rt537419fca967ac=Corvinul Hunedoara; rt2ac50bd08c0836=Săcele; rt74337525960d3a=Mureşul Ruşii-Munţi; rtd819039dd868e3=Petrofac Ţicleni; rt5f3903ab871c39=Unirea Dej; rt5527ece95a9c9d=CFR Cluj; rt70f70391156200=Millenium Giarmata; rt5c8d8a9403f4dd=Metalul Buzău; rt458601073eef83=Viitorul P. Târgu Jiu; rtc0efd05eff6bf6=Universitatea Craiova; rtd944f4ef92d2aa=Sănătatea Cluj; rt2a23b5e50fc57a=Rapid Jibou; rt8eb23046b1d349=Râmnicu Sărat; rt4ce0c229efa8b0=CSM Pascani; rt99dd8b5741523f=Sporting Lieşti; rt76f568e74adf1e=Oţelul Galați; rt7e0880350c60da=Alexandria; rta698f71f08c76c=Performanța Ighiu; rt887d6e1180da4e=FCSB; rt891a17c0036370=Gaz Metan Mediaş; rta0dc65e3ae14b6=Fortuna Becicherecu Mic; rtbeb7ada839b4c1=Crasna Moftinu Mic; rt1b9c0f1935c8d7=Păuleşti; rt9f0e92525604de=Viitorul Domneşti; rtd89e51816c10bb=Viitorul Onești; rt21573fffbfafbe=Cozia Călimăneşti; rt3b325a067b8fbf=Filiaşi; rtf179d10ab1219c=Sportul Chiscani; rt97851f8a97be11=Internaţional Băleşti; rte278d5fd494815=Drăgăneşti-Vlaşca; rtbc56db38c28ab9=Metalurgistul Cugir; rtd20ef53ef43bf2=Minaur Baia Mare; rtbb2c50c8d117ad=AS FC Buzău; rt813cc1ee928931=Unirea Mirceşti; rt4ac1e7ebcb3efe=Agricola Borcea; rtcda2e0bcb8e17d=Hărman; rt9922ca7116f6ca=Sănătatea Darabani; rtf6996b01b9f4a9=Victoria Zăbrani; rt2955037266fea7=Sepsi; rtc704339f6c15b7=Concordia Chiajna; rtb6c9e861055801=Sporting Roşiori; rtc7933c3bb95319=Dunărea Călăraşi; rt104fcc9b193dae=Izbânda Hagilarea; rt787b395f05d7f8=Bucovina Rădăuţi; rt342675b771864e=Croaţia Clocotici; rt7fcd85c6101436=Ceahlăul Piatra Neamţ; rt1d92c309160a12=CSM Deva; rt3404ee82101fba=Afumaţi; rt936e66894b45c0=Avrig; rt966ee4174a36b6=Avântul Reghin; rt56d8827e60524c=Mostiştea Ulmu; rta0b1ffc79ebe72=Sportul Ciorăşti; rt0ea5ea7b59d9fd=Roman; rt7a967621e995ca=Vultureşti; rtb1dbc573fb41a1=Bragadiru; rt2cc03431586422=Viitorul Şimian; rt488bd921b3073a=Atletic Bradu; rt7b700c32099a1f=Gloria Bistriţa; rt3678630f4d1653=SSU Poli Timişoara; rta70f10945c6e46=Sportul Petreşti; rt18fd329f327821=Unirea Tășnad; rt3367348d0cd9be=Odorheiu Secuiesc; rt51b1eb418bb8b0=Viitorul Ianca; rtd1aa64653c6cb7=Dacia Gepiu; rt0bb8fb563c4d4e=Arieşul Turda; rt3e240aee6fd499=Gloria Corneşti; rt80bc8b8cc6e4ca=Dinamo Bucureşti; rt9dab1361e9a754=Popești-Leordeni; rt2116962c8fca3d=Hermannstadt; rt908254251b91ca=Astra; rt29cb29bdf406e1=Iernut; rtb2a8fccba48177=Argeşul Mihăileşti; rte3b92600a41848=Naţional Sebiş
